1225004,-2.10,3.11
1230004,-2.10,-0.91
1235000,-2.11,-1.40
1240004,-2.11,0.98
1245004,-2.08,4.57
1250000,-2.05,6.46
1255000,-2.02,5.67
1260000,-2.01,3.60
1265000,-2.00,1.46
1270000,-1.99,0.98
1275000,-1.98,2.13
1280000,-1.96,3.90
1285004,-1.94,5.00
1290004,-1.91,4.76
1295000,-1.90,3.17
1300004,-1.89,2.20
1305000,-1.88,2.07
1310000,-1.86,2.62
1315000,-1.85,3.78
1320004,-1.82,4.15
1325000,-1.81,3.60
1330000,-1.79,2.93
1335004,-1.78,2.44
1340004,-1.77,2.80
1345000,-1.75,3.54
1350000,-1.73,3.60
1355000,-1.71,3.66
1360004,-1.70,2.93
1365000,-1.68,2.99
1370004,-1.67,2.87
1375004,-1.65,3.11
1380000,-1.64,3.41
1385004,-1.62,3.23
1390000,-1.60,3.17
1395000,-1.59,2.93
1400000,-1.57,3.05
1405004,-1.56,3.11
1410004,-1.54,3.23
1415000,-1.52,3.41
1420000,-1.51,3.17
1425004,-1.49,2.93
1430000,-1.48,2.99
1435004,-1.46,3.29
1440000,-1.45,3.29
1445004,-1.43,3.41
1450000,-1.41,3.41
1455000,-1.40,3.11
1460000,-1.38,3.23
1465000,-1.36,3.29
1470004,-1.35,3.11
1475000,-1.33,3.17
1480004,-1.32,3.11
1485000,-1.30,3.17
1490000,-1.28,3.23
1495000,-1.27,3.23
1500000,-1.25,3.23
1505000,-1.24,3.29
1510000,-1.22,3.23
1515000,-1.20,3.23
1520004,-1.19,3.17
1525004,-1.17,3.17
1530000,-1.16,2.99
1535004,-1.14,3.11
1540000,-1.13,3.11
1545000,-1.11,3.29
1550000,-1.09,3.11
1555000,-1.08,3.35
1560000,-1.06,3.23
1565000,-1.05,3.11
1570004,-1.03,3.05
1575000,-1.01,3.11
1580000,-1.00,3.35
1585000,-0.98,3.11
1590004,-0.97,3.11
1595000,-0.95,3.23
1600004,-0.93,3.29
1605000,-0.92,3.35
1610000,-0.90,3.29
1615000,-0.89,3.11
1620000,-0.87,3.23
1625000,-0.85,2.99
1630000,-0.84,3.17
1635000,-0.82,3.23
1640004,-0.81,3.11
1645000,-0.79,3.23
1650004,-0.77,3.17
1655000,-0.76,3.23
1660004,-0.74,3.23
1665004,-0.73,3.23
1670004,-0.71,3.11
1675004,-0.70,3.11
1680000,-0.68,3.05
