5000,-0.00,-0.12
10000,-0.00,0.00
15000,-0.00,-0.37
20000,-0.00,-0.30
25004,-0.00,-0.06
30000,-0.01,-0.43
35000,-0.01,0.06
40000,-0.01,-0.37
45000,-0.01,0.43
50000,-0.01,-0.30
55000,-0.01,0.37
60000,-0.00,0.12
65000,-0.01,-0.30
70004,-0.01,-0.18
75004,-0.01,0.00
80000,-0.01,0.18
85000,-0.01,0.12
90004,-0.00,0.43
95000,-0.00,-0.06
100000,-0.00,0.18
105000,-0.00,0.18
110000,-0.00,0.06
115000,-0.00,-0.06
120004,-0.00,-0.12
125000,-0.00,0.18
130000,-0.00,-0.06
135000,-0.00,0.18
140000,0.00,0.43
145000,-0.00,-0.30
150000,-0.00,-0.18
155000,-0.00,-0.06
160000,-0.00,0.06
165000,-0.00,-0.49
170000,-0.00,-0.06
175000,-0.00,0.24
180004,-0.00,0.24
185000,-0.00,0.24
190000,-0.00,0.06
195004,-0.00,-0.12
200004,-0.00,-0.06
205000,-0.00,-0.37
210000,-0.00,-0.12
215000,-0.01,-0.43
220000,-0.00,0.49
225000,-0.00,0.06
230000,-0.00,0.06
235004,-0.00,0.30
240000,-0.00,-0.12
245000,-0.00,-0.06
250000,-0.00,-0.12
255000,-0.00,-0.30
260000,-0.01,-0.18
265000,-0.01,-0.37
270004,-0.01,0.00
275004,-0.01,-0.18
280004,-0.01,-0.18
285000,-0.01,-0.06
290000,-0.01,-0.06
295004,-0.01,-0.30
300000,-0.01,0.37
305000,-0.01,-0.06
310000,-0.01,-0.06
315000,-0.01,-0.12
320004,-0.01,-0.12
325004,-0.01,0.12
330000,-0.01,-0.06
335000,-0.01,0.00
340000,-0.01,-0.18
345000,-0.01,0.00
350004,-0.01,-0.06
355000,-0.01,0.06
360000,-0.01,0.06
365000,-0.01,0.18
370004,-0.01,0.30
375000,-0.01,0.18
380004,-0.01,0.06
385000,-0.01,-0.49
390004,-0.01,-0.30
395004,-0.01,-0.18
400004,-0.01,0.12
405000,-0.01,0.00
410000,-0.01,0.18
415004,-0.01,0.00
420000,-0.01,-0.12
425000,-0.01,-0.49
430000,-0.01,0.06
435000,-0.01,0.00
440004,-0.01,0.12
445000,-0.01,-0.37
450000,-0.02,-0.18
455000,-0.02,0.06
460000,-0.01,0.24
465000,-0.02,-0.55
470000,-0.02,-0.12
475000,-0.02,-0.24
480004,-0.02,0.37
485000,-0.02,-0.06
490000,-0.02,-0.49
495000,-0.02,0.49
500004,-0.02,-0.06
505004,-0.02,0.43
510000,-0.01,0.12
515004,-0.02,-0.18
520000,-0.02,-0.49
525000,-0.02,-0.43
530004,-0.02,-0.12
535000,-0.02,-0.37
540000,-0.02,0.12
545000,-0.02,0.12
550004,-0.02,-0.06
555000,-0.02,0.12
560004,-0.02,-0.55
565000,-0.02,-0.12
570004,-0.02,0.06
575000,-0.03,-0.43
580000,-0.03,-0.06
585004,-0.03,-0.12
590000,-0.03,0.24
595000,-0.03,0.00
600000,-0.03,0.12
605004,-0.03,0.00
610000,-0.03,-0.06
615004,-0.03,-0.30
620000,-0.03,-0.30
625004,-0.03,0.00
630004,-0.03,0.00
635000,-0.03,0.00
640000,-0.03,0.06
645004,-0.03,-0.18
650004,-0.03,0.06
655000,-0.03,-0.18
660000,-0.03,-0.18
665000,-0.03,0.18
670000,-0.03,-0.12
675000,-0.03,-0.37
680004,-0.03,0.00
685000,-0.03,0.00
690000,-0.03,-0.37
695004,-0.03,0.00
700000,-0.04,-0.18
705000,-0.03,0.18
710004,-0.04,-0.18
715004,-0.04,-0.37
720000,-0.04,-0.24
725000,-0.04,0.24
730004,-0.04,-0.06
735004,-0.04,0.00
740004,-0.04,-0.18
745004,-0.04,0.06
750004,-0.04,-0.37
755000,-0.04,0.00
760000,-0.04,-0.12
765000,-0.04,0.30
770000,-0.04,0.24
775000,-0.04,0.00
780004,-0.04,-0.12
785000,-0.04,-0.12
790000,-0.04,0.24
795000,-0.04,0.00
800000,-0.04,0.24
805004,-0.04,-0.24
810000,-0.04,0.00
815004,-0.04,-0.49
820004,-0.04,0.00
825000,-0.04,-0.30
830000,-0.04,-0.43
835000,-0.05,-0.24
840000,-0.05,-0.24
845000,-0.04,0.30
850000,-0.05,-0.12
855000,-0.05,0.00
860004,-0.05,0.06
865000,-0.05,-0.24
870000,-0.05,0.18
875004,-0.04,0.24
880000,-0.05,-0.24
885000,-0.04,0.12
890000,-0.04,0.43
895000,-0.04,-0.37
900004,-0.05,-0.12
905000,-0.04,0.18
910000,-0.04,-0.06
915000,-0.04,0.00
920000,-0.05,-0.12
925000,-0.04,0.06
930000,-0.05,-0.24
935000,-0.05,0.18
940000,-0.05,-0.18
945000,-0.05,-0.06
950000,-0.05,0.00
955004,-0.05,0.12
960004,-0.05,0.00
965000,-0.05,0.06
970000,-0.05,-0.24
975000,-0.04,0.37
980000,-0.04,0.12
985004,-0.04,0.00
990000,-0.04,0.12
995000,-0.04,-0.12
1000000,-0.04,0.00
1005000,0.26,59.88
1010004,1.48,244.09
1015000,3.27,359.33
1020000,5.25,396.34
1025000,7.06,360.73
1030000,8.39,266.04
1035004,9.01,123.78
1040000,8.84,-33.23
1045000,8.04,-160.30
